"","prey","svspp","seacat","year","CMT","lci.CMT","uci.CMT","mean.cb","lci.cb","uci.cb"
"491","all",15,"FALL",1973,NA,0,0,NA,0,0
"492","all",15,"FALL",1974,NA,0,0,NA,0,0
"493","all",15,"FALL",1975,NA,0,0,NA,0,0
"494","all",15,"FALL",1976,NA,0,0,NA,0,0
"495","all",15,"FALL",1977,33625.9997090099,6.64451140784085e-05,246294.691558641,0.266454425327174,4.85976932195124e-10,2.07902404178898
"496","all",15,"FALL",1978,17845.0027487459,1.72691138707283e-16,155747.901516649,0.0799492718696583,7.57160480006236e-22,0.662547478491741
"497","all",15,"FALL",1979,24037.8407227053,1.62192327700094e-40,197500.515794191,0.0639952510497144,4.96614239876345e-46,0.420956096535093
"498","all",15,"FALL",1980,4252.60119756763,2.85654952258193e-45,34596.5628187809,0.0233030693785316,9.61050966038923e-51,0.228371854166027
"499","all",15,"FALL",1981,6701.21051578016,7.54881650306464e-104,92583.5420960054,0.0388304335048325,6.4920866764717e-109,0.464280533285212
"500","all",15,"FALL",1982,33582.496646006,1.77512232904571e-16,227429.817785208,0.405710551774947,2.77775768344173e-21,3.37515152817562
"501","all",15,"FALL",1983,562324.9101773,1.71352865463622e-34,3085721.66834984,3.06674264779052,9.4583756942894e-40,19.1941206078388
"502","all",15,"FALL",1984,103832.682920905,6.96308081923117e-09,1056310.50294831,0.708240432075133,3.25285346703501e-14,5.7040139625819
"503","all",15,"FALL",1985,50966.1492783961,3.64194919562842e-29,482908.969891417,0.317368915905102,4.45414137154036e-34,3.00534999651244
"504","all",15,"FALL",1986,72785.954395362,2.11037987222331e-07,531035.556668332,0.449598266674502,9.21150081012156e-13,2.3545814779487
"505","all",15,"FALL",1987,67620.0386246676,1.266872357827e-29,693172.021535382,0.459165802145161,1.88802712453932e-34,5.3574272051352
"506","all",15,"FALL",1988,29511.3457338661,4.52044366599783e-11,362711.047249015,0.16862696372838,2.28623992484736e-16,2.09594547505997
"507","all",15,"FALL",1989,32385.6365513689,5.86348287641816e-06,262995.739924894,0.480505424365261,8.35366888520731e-11,4.423787668296
"508","all",15,"FALL",1990,104276.1934004,2.94602790312086e-20,315808.454510319,0.73451862186098,1.1989858463114e-25,4.78629348659491
"509","all",15,"FALL",1991,75418.8186460964,1.43458707569605e-06,622574.542647967,0.22473027862829,4.41069419023282e-12,1.84555552829129
"510","all",15,"FALL",1992,172847.367133727,5.42765570678198e-12,2158207.95311122,0.650573238876368,1.33329273617141e-17,8.24610906428084
"511","all",15,"FALL",1993,46260.7759248137,1.74043234427617e-15,712811.415583909,0.485006747021454,1.63094986725956e-20,5.98448973515441
"512","all",15,"FALL",1994,145261.907433306,4.13566718969969e-06,994634.01872683,0.72445120847734,2.94945852419404e-11,4.49042949442813
"513","all",15,"FALL",1995,86947.0022500963,2.48382244442944e-10,1026063.57105106,0.58456069045441,1.59331817945554e-15,7.91632381947933
"514","all",15,"FALL",1996,105520.835511433,3.389563366633e-46,501234.216431526,0.247377463492314,4.70761043048994e-52,1.85946376639747
"515","all",15,"FALL",1997,42944.8665054565,9.08597914378005e-20,512107.978816682,0.289181431021629,1.49304024845544e-24,3.20673210730068
"516","all",15,"FALL",1998,203408.948195292,5.57700814336322e-42,695436.551335432,2.59641678194607,5.21783961087334e-47,5.70864378845612
"517","all",15,"FALL",1999,50011.5126813084,1.76474350397518e-08,422496.081327162,0.342367367338428,1.1657742694317e-13,2.94253717605405
"518","all",15,"FALL",2000,114562.717827357,4.19042672474445e-21,1020403.75855288,0.695872445074072,2.5134583045111e-26,5.15963072946893
