,svspp,seacat,year,prey,abunpop,abunpop.sd,biompop,biompop.sd,CMT,cb,nctds,bt,bt_sd
3921,15,FALL,1973,all,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3925,15,FALL,1973,AMMFAM,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3927,15,FALL,1973,CLUHAR,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3923,15,FALL,1973,LOLIGO,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3924,15,FALL,1973,MERBIL,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3926,15,FALL,1973,OTHER,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3928,15,FALL,1973,PEPTRI,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3922,15,FALL,1973,SCOSCO,138540072.2,462020340,178559446.8,824740994.2,NA,NA,NA,NA,NA
3930,15,FALL,1974,all,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3934,15,FALL,1974,AMMFAM,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3933,15,FALL,1974,CLUHAR,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3932,15,FALL,1974,LOLIGO,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3936,15,FALL,1974,MERBIL,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3935,15,FALL,1974,OTHER,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3931,15,FALL,1974,PEPTRI,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3929,15,FALL,1974,SCOSCO,47781234.91,89495452.04,71737923.94,169234334.4,NA,NA,NA,NA,NA
3937,15,FALL,1975,all,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3940,15,FALL,1975,AMMFAM,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3939,15,FALL,1975,CLUHAR,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3944,15,FALL,1975,LOLIGO,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3943,15,FALL,1975,MERBIL,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3938,15,FALL,1975,OTHER,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3941,15,FALL,1975,PEPTRI,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3942,15,FALL,1975,SCOSCO,190796580.3,455790336.1,208676930.7,507631674.4,NA,NA,NA,NA,NA
3946,15,FALL,1976,all,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3948,15,FALL,1976,AMMFAM,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3945,15,FALL,1976,CLUHAR,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3952,15,FALL,1976,LOLIGO,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3947,15,FALL,1976,MERBIL,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3949,15,FALL,1976,OTHER,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3951,15,FALL,1976,PEPTRI,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3950,15,FALL,1976,SCOSCO,123429575.4,510070554.3,136453889.6,724087041.7,NA,NA,NA,NA,NA
3955,15,FALL,1977,all,63922113.74,140064909.2,146311617.3,460551426.8,23117.84667,0.158004177,114,10.62182853,2.540847993
3960,15,FALL,1977,AMMFAM,63922113.74,140064909.2,146311617.3,460551426.8,74.57649741,0.00050971,114,10.62182853,2.540847993
3953,15,FALL,1977,CLUHAR,63922113.74,140064909.2,146311617.3,460551426.8,471.9056428,0.003225346,114,10.62182853,2.540847993
3957,15,FALL,1977,LOLIGO,63922113.74,140064909.2,146311617.3,460551426.8,4075.2689,0.027853351,114,10.62182853,2.540847993
3954,15,FALL,1977,MERBIL,63922113.74,140064909.2,146311617.3,460551426.8,0,0,114,10.62182853,2.540847993
3958,15,FALL,1977,OTHER,63922113.74,140064909.2,146311617.3,460551426.8,19468.45129,0.133061555,114,10.62182853,2.540847993
3959,15,FALL,1977,PEPTRI,63922113.74,140064909.2,146311617.3,460551426.8,0,0,114,10.62182853,2.540847993
3956,15,FALL,1977,SCOSCO,63922113.74,140064909.2,146311617.3,460551426.8,0,0,114,10.62182853,2.540847993
3966,15,FALL,1978,all,386096001.6,1081601617,247471244.2,583699933.8,16377.95388,0.06618124,202,9.924061609,2.919697305
3968,15,FALL,1978,AMMFAM,386096001.6,1081601617,247471244.2,583699933.8,212.8101753,0.000859939,202,9.924061609,2.919697305
3961,15,FALL,1978,CLUHAR,386096001.6,1081601617,247471244.2,583699933.8,4617.132655,0.018657249,202,9.924061609,2.919697305
3964,15,FALL,1978,LOLIGO,386096001.6,1081601617,247471244.2,583699933.8,5063.614898,0.020461427,202,9.924061609,2.919697305
3962,15,FALL,1978,MERBIL,386096001.6,1081601617,247471244.2,583699933.8,22.33167673,9.02E-05,202,9.924061609,2.919697305
